Centro,Almacén,Material,N° Pallet,Lote,Fecha,Stock,UN,Bloqueado,Antiguedad_dias
P109,I93,930102055,1001504260,25C20AJAEB,20.03.25,5434,UN,,209
P109,I93,930102055,1001504517,25C20AJAEC,20.03.25,5434,UN,,209
P109,I93,930102055,1001504255,25C20AJAEA,20.03.25,5378,UN,,209
P109,I93,920100668,1001615556,25J10GJAED,10.10.25,4807,UN,,5
P109,I93,920100668,1001615848,25J09GJAEC,09.10.25,4679,UN,,6
P109,I93,920100670,1001613734,25J04GJNEB,04.10.25,4654,UN,,11
P109,I93,920100670,1001613761,25J06GJNEC,06.10.25,4522,UN,,9
P109,I93,920100669,1001614807,25J07GJPEA,07.10.25,4491,UN,,8
P109,I93,920100670,1001614216,25J07GJNEA,07.10.25,4389,UN,,8
P109,I93,930101926,1001446801,25A17FJNLA,17.01.25,4224,UN,,271
P109,I93,930101927,1001447757,25A17FJALA,17.01.25,4224,UN,,271
P109,I93,930101927,1001451181,25A17FJALA,17.01.25,4224,UN,,271
P109,I93,920100670,1001613738,25J04GJNEC,04.10.25,4180,UN,,11
P109,I93,920100670,1001614213,25J07GJNEA,07.10.25,4180,UN,,8
P109,I93,920100669,1001614246,25J07GJIEC,07.10.25,4180,UN,,8
P109,I93,920100669,1001614251,25J07GJIED,07.10.25,4180,UN,,8
P109,I93,920100669,1001614252,25J07GJIED,07.10.25,4180,UN,,8
P109,I93,920100669,1001614253,25J07GJIED,07.10.25,4180,UN,,8
P109,I93,920100669,1001614806,25J07GJPEA,07.10.25,4180,UN,,8
P109,I93,920100668,1001615552,25J10GJAEC,10.10.25,4180,UN,,5
P109,I93,920100668,1001615553,25J10GJAEC,10.10.25,4180,UN,,5
P109,I93,920100668,1001615564,25J10GJAEE,10.10.25,4180,UN,,5
P109,I93,920100668,1001615565,25J10GJAEE,10.10.25,4180,UN,,5
P109,I93,920100668,1001615591,25J11GJAEC,11.10.25,4180,UN,,4
P109,I93,920100668,1001615600,25J11GJAEE,11.10.25,4180,UN,,4
P109,I93,920100669,1001615606,25J11GJIEA,11.10.25,4180,UN,,4
P109,I93,920100669,1001615607,25J11GJIEA,11.10.25,4180,UN,,4
P109,I93,920100669,1001615609,25J11GJIEB,11.10.25,4180,UN,,4
P109,I93,920100669,1001615628,25J13GJIEB,13.10.25,4180,UN,,2
P109,I93,920100669,1001615629,25J13GJIEB,13.10.25,4180,UN,,2
P109,I93,920100669,1001615631,25J13GJIEC,13.10.25,4180,UN,,2
P109,I93,920100669,1001615632,25J13GJIEC,13.10.25,4180,UN,,2
P109,I93,920100669,1001615636,25J13GJIEC,13.10.25,4180,UN,,2
P109,I93,920100669,1001615638,25J13GJIEC,13.10.25,4180,UN,,2
P109,I93,920100668,1001615818,25J08GJAEA,08.10.25,4180,UN,,7
P109,I93,920100668,1001615819,25J08GJAEA,08.10.25,4180,UN,,7
P109,I93,920100668,1001615825,25J08GJAEB,08.10.25,4180,UN,,7
P109,I93,920100668,1001615827,25J08GJAEB,08.10.25,4180,UN,,7
P109,I93,920100668,1001615836,25J09GJAEB,09.10.25,4180,UN,,6
P109,I93,920100668,1001615847,25J09GJAEC,09.10.25,4180,UN,,6
P109,I93,920100668,1001615850,25J09GJAEC,09.10.25,4180,UN,,6
P109,I93,920100668,1001615867,25J09GJAEG,09.10.25,4180,UN,,6
P109,I93,920100668,1001615872,25J09GJAEH,09.10.25,4180,UN,,6
P109,I93,920100668,1001615873,25J09GJAEH,09.10.25,4180,UN,,6
P109,I93,920100668,1001615874,25J09GJAEH,09.10.25,4180,UN,,6
P109,I93,920100669,1001615639,25J13GJIEC,13.10.25,4162,UN,,2
P109,I93,920100668,1001615554,25J10GJAEC,10.10.25,4056,UN,,5
P109,I93,920100668,1001615868,25J09GJAEG,09.10.25,3955,UN,,6
P109,I93,920100668,1001615569,25J10GJAEF,10.10.25,3920,UN,,5
P109,I93,930101927,1001366460,24E09FJALE,09.05.24,3888,UN,,524
P109,I93,920100669,1001614254,25J07GJIED,07.10.25,3629,UN,,8
P109,I93,920100669,1001615618,25J11GJIEC,11.10.25,3517,UN,,4
P109,I93,920100669,1001615617,25J11GJIEC,11.10.25,3344,UN,,4
P109,I93,920100668,1001615593,25J11GJAED,11.10.25,3274,UN,,4
P109,I93,920100668,1001615859,25J09GJAEE,09.10.25,3227,UN,,6
P109,I93,930101926,1001458111,25A13FJNLF,13.01.25,3216,UN,,275
P109,I93,930101926,1001458112,25A13FJNLF,13.01.25,3216,UN,,275
P109,I93,930101927,1001332104,24C16FJALC,16.03.24,3215,UN,,578
P109,I93,920100669,1001614524,25J08GJIED,08.10.25,3170,UN,,7
P109,I93,930101927,1001389386,24C16FJALC,16.03.24,3120,UN,,578
P109,I93,920100669,1001615634,25J13GJIEC,13.10.25,3113,UN,,2
P109,I93,920100668,1001615837,25J09GJAEB,09.10.25,3038,UN,,6
P109,I93,920100668,1001615828,25J08GJAEB,08.10.25,2955,UN,,7
P109,I93,920100669,1001615610,25J11GJIEB,11.10.25,2891,UN,,4
P109,I93,920100669,1001614515,25J08GJIEB,08.10.25,2819,UN,,7
